TreeID,qSpecies,qSiteInfo,Latitude,Longitude
227167,Ligustrum lucidum :: Glossy Privet,Sidewalk: Curb side : Cutout,37.76394686,-122.4497993
242612,Ulmus parvifolia :: Chinese Elm,Sidewalk: Curb side : Cutout,37.74294053,-122.4183579
118180,Olea europaea :: Olive Tree,Sidewalk: Curb side : Cutout,37.77550903,-122.4930785
24492,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.77560902,-122.4249888
177596,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.71136852,-122.4526619
38,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.7675715,-122.430574
240246,Quercus agrifolia :: Coast Live Oak,Sidewalk: Curb side : Cutout,37.73792957,-122.4215469
234164,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Yard,37.74422314,-122.4104706
45763,Liquidambar styraciflua :: American Sweet Gum,Sidewalk: Curb side : Cutout,37.78861457,-122.4583124
212276,Corymbia ficifolia :: Red Flowering Gum,Sidewalk: Curb side : Yard,37.72470567,-122.4719944
119551,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.77738951,-122.4899942
131545,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.79324076,-122.4147408
139493,Pittosporum crassifolium :: Karo Tree,Sidewalk: Curb side : Cutout,37.77699085,-122.4380972
101142,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.76069613,-122.3974226
49525,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.76969642,-122.4087483
110517,Ginkgo biloba :: Maidenhair Tree,Sidewalk: Curb side : Cutout,37.76739688,-122.4211339
183257,Prunus serrulata :: Ornamental Cherry,Sidewalk: Curb side : Cutout,37.7613744,-122.507144
197041,Pyrus calleryana 'Redspire' :: Ornamental Pear Tree 'Redspire',Sidewalk: Curb side : Yard,37.72780829,-122.3951917
197895,Syzygium australe :: Eugenia,Sidewalk: Property side : Yard,37.74118993,-122.4017223
214107,Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',Sidewalk: Curb side : Cutout,37.72123369,-122.4627355
141986,Acer rubrum :: Red Maple,Sidewalk: Curb side : Cutout,37.77886577,-122.4293815
128731,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.79710577,-122.4048519
232014,Melaleuca linariifolia :: Flaxleaf Paperbark,Sidewalk: Curb side : Cutout,37.74029389,-122.4164662
187082,Agonis flexuosa :: Peppermint Willow,Sidewalk: Property side : Yard,37.73709307,-122.4937088
227933,Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,Sidewalk: Curb side : Cutout,37.76004291,-122.4392186
40189,Acacia baileyana :: Bailey's Acacia,Sidewalk: Curb side : Cutout,37.72969602,-122.4112413
111250,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.73810025,-122.5004466
16946,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.77390276,-122.4295032
103530,Melaleuca ericifolia :: Heath Melaleuca,Sidewalk: Curb side : Cutout,37.78556231,-122.4668459
